PUBLISHER,BRAND_NAME,BRAND_IMPRESSIONS,AVG_CPA,AVG_CPO,CONV_COUNT,TOTAL_AD_SPEND,RPM,CVR,Cost_Per_Conversion,Brand_Score,Bayesian_Rank,Pub_Impr_Rank,RPM_Rank,Clean_Agg_Rank
Laura Geller,Liquid I.V.,420,35.0,0.0,1,35.0,83.33,0.0024,21.0,0.7371047727344515,5.0,1.0,1.0,1.0
Laura Geller,Love Your Melon,3148,30.0,19.0,3,57.0,18.11,0.001,22.26,0.7896438085010055,4.0,1.0,4.0,2.0
Laura Geller,True Classic,68887,45.0,0.0,17,450.0,6.53,0.0002,38.5,0.9474662286658876,1.0,1.0,9.0,3.0
Laura Geller,Afloral,1244,30.0,20.0,1,20.0,16.08,0.0008,25.0,0.6847657854006759,6.0,1.0,6.0,4.0
Laura Geller,Little Words Project,1466,15.0,10.0,3,40.0,27.29,0.002,12.33,0.421407288080272,9.0,1.0,3.0,5.0
Laura Geller,Willow Pumps,213,40.0,0.0,1,0.0,0.0,0.0047,33.85,0.8945060383040103,2.0,1.0,14.0,6.0
Laura Geller,Dollar Shave Club,16267,30.0,5.0,21,165.0,10.14,0.0013,11.08,0.3157711867083609,10.0,1.0,7.0,7.0
Laura Geller,Tubby Todd Bath Co.,2895,10.0,0.0,6,50.0,17.27,0.0021,7.8,0.20910325657790835,12.0,1.0,5.0,8.0
Laura Geller,Bodily,110,,,0,0.0,0.0,0.0,26.16,0.8399717826421134,3.0,1.0,15.0,9.0
Laura Geller,Morphe,370,45.0,25.0,1,25.0,67.57,0.0027,30.71,0.0,17.0,1.0,2.0,10.0
Laura Geller,Sol de Janeiro,449865,20.0,10.0,253,2830.0,6.29,0.0006,10.64,0.2636796276993377,11.0,1.0,10.0,11.0
Laura Geller,Solly Baby,195,,,0,0.0,0.0,0.0,18.0,0.6312738873622035,7.0,1.0,16.0,12.0
Laura Geller,Dr. Squatch,134281,25.0,1.0,52,412.0,3.07,0.0004,7.46,0.15925961022142202,13.0,1.0,11.0,13.0
Laura Geller,Lalo,279,,,0,0.0,0.0,0.0,16.0,0.5790033376501679,8.0,1.0,17.0,14.0
Laura Geller,Beyond Polish,17906,8.0,0.0,4,32.0,1.79,0.0002,6.86,0.10659422807627111,14.0,1.0,12.0,15.0
Laura Geller,UNTUCKit,24266,40.0,20.0,6,160.0,6.59,0.0002,28.89,0.0,20.0,1.0,8.0,16.0
Laura Geller,biom,22434,30.0,15.0,1,30.0,1.34,0.0,30.0,0.0,18.0,1.0,13.0,17.0
Laura Geller,Newton Baby,7239,,,0,0.0,0.0,0.0,2.45,0.05330237847057708,15.0,1.0,18.0,18.0
Laura Geller,MANSCAPED,79236,0.0,0.0,3,0.03,0.0,0.0,0.01,0.0005896164334523095,16.0,1.0,19.0,19.0
Laura Geller,AAVRANI,219,,,0,0.0,0.0,0.0,13.523384657684904,0.0,19.0,1.0,20.0,20.0
Love in Faith,True Classic,20372,45.0,0.0,6,90.0,4.42,0.0003,38.5,0.9474662286658876,2.0,2.0,9.0,1.0
Love in Faith,Liquid I.V.,48966,35.0,0.0,14,280.0,5.72,0.0003,21.0,0.7371047727344515,6.0,2.0,7.0,2.0
Love in Faith,Little Words Project,2000,15.0,10.0,3,35.0,17.5,0.0015,12.33,0.421407288080272,12.0,2.0,1.0,3.0
Love in Faith,Once Upon a Farm,221,,,0,0.0,0.0,0.0,40.0,1.0,1.0,2.0,13.0,4.0
Love in Faith,Laura Geller,238261,15.0,0.0,366,4095.0,17.19,0.0015,11.54,0.36846289101571966,13.0,2.0,2.0,5.0
Love in Faith,Willow Pumps,830,,,0,0.0,0.0,0.0,33.85,0.8945060383040103,3.0,2.0,14.0,6.0
Love in Faith,Dollar Shave Club,18008,30.0,5.0,20,275.0,15.27,0.0011,11.08,0.3157711867083609,14.0,2.0,3.0,7.0
Love in Faith,Afloral,10015,30.0,20.0,1,30.0,3.0,0.0001,25.0,0.6847657854006759,7.0,2.0,11.0,8.0
Love in Faith,Bodily,691,,,0,0.0,0.0,0.0,26.16,0.8399717826421134,4.0,2.0,15.0,9.0
Love in Faith,Love Your Melon,117,,,0,0.0,0.0,0.0,22.26,0.7896438085010055,5.0,2.0,16.0,10.0
Love in Faith,Sol de Janeiro,92106,20.0,10.0,70,660.0,7.17,0.0008,10.64,0.2636796276993377,15.0,2.0,6.0,11.0
Love in Faith,Tubby Todd Bath Co.,3559,10.0,0.0,6,20.0,5.62,0.0017,7.8,0.20910325657790835,16.0,2.0,8.0,12.0
Love in Faith,Solly Baby,362,,,0,0.0,0.0,0.0,18.0,0.6312738873622035,8.0,2.0,17.0,13.0
Love in Faith,UNTUCKit,6690,40.0,20.0,3,100.0,14.95,0.0004,28.89,0.0,21.0,2.0,4.0,14.0
Love in Faith,Lalo,488,,,0,0.0,0.0,0.0,16.0,0.5790033376501679,9.0,2.0,18.0,15.0
Love in Faith,Dr. Squatch,79716,25.0,1.0,42,307.0,3.85,0.0005,7.46,0.15925961022142202,17.0,2.0,10.0,16.0
Love in Faith,Morphe,14516,45.0,25.0,6,190.0,13.09,0.0004,30.71,0.0,22.0,2.0,5.0,17.0
Love in Faith,Coterie,325,,,0,0.0,0.0,0.0,14.14,0.5251534582056708,10.0,2.0,19.0,18.0
Love in Faith,Beyond Polish,3163,8.0,0.0,1,8.0,2.53,0.0003,6.86,0.10659422807627111,18.0,2.0,12.0,19.0
Love in Faith,"Dermaclara, LLC",1351,,,0,0.0,0.0,0.0,13.0,0.4743622140097076,11.0,2.0,20.0,20.0
Love in Faith,Newton Baby,1422,,,0,0.0,0.0,0.0,2.45,0.05330237847057708,19.0,2.0,21.0,21.0
Love in Faith,MANSCAPED,15613,,,0,0.0,0.0,0.0,0.01,0.0005896164334523095,20.0,2.0,22.0,22.0
Love in Faith,biom,813,,,0,0.0,0.0,0.0,30.0,0.0,23.0,2.0,23.0,23.0
Love in Faith,AAVRANI,16598,,,0,0.0,0.0,0.0,13.523384657684904,0.0,24.0,2.0,24.0,24.0
Love in Faith,120/Life,20523,,,0,0.0,0.0,0.0,13.523384657684904,0.0,25.0,2.0,25.0,25.0
Dr. Squatch,True Classic,98688,45.0,0.0,152,6255.0,63.38,0.0015,38.5,0.9474662286658876,1.0,3.0,1.0,1.0
Dr. Squatch,Love Your Melon,837,30.0,19.0,1,19.0,22.7,0.0012,22.26,0.7896438085010055,2.0,3.0,2.0,2.0
Dr. Squatch,Liquid I.V.,68434,35.0,0.0,38,805.0,11.76,0.0006,21.0,0.7371047727344515,3.0,3.0,4.0,3.0
Dr. Squatch,Tubby Todd Bath Co.,631,10.0,0.0,1,10.0,15.85,0.0016,7.8,0.20910325657790835,6.0,3.0,3.0,4.0
Dr. Squatch,Afloral,93,,,0,0.0,0.0,0.0,25.0,0.6847657854006759,4.0,3.0,7.0,5.0
Dr. Squatch,Lalo,1238,,,0,0.0,0.0,0.0,16.0,0.5790033376501679,5.0,3.0,8.0,6.0
Dr. Squatch,Newton Baby,4264,3.0,0.0,1,3.0,0.7,0.0002,2.45,0.05330237847057708,7.0,3.0,6.0,7.0
Dr. Squatch,biom,9260,30.0,15.0,1,30.0,3.24,0.0001,30.0,0.0,9.0,3.0,5.0,8.0
Dr. Squatch,UNTUCKit,9332,,,0,0.0,0.0,0.0,28.89,0.0,8.0,3.0,9.0,9.0
Dr. Squatch,120/Life,68,,,0,0.0,0.0,0.0,13.523384657684904,0.0,10.0,3.0,10.0,10.0
Sol de Janeiro,True Classic,3377,45.0,0.0,2,90.0,26.65,0.0006,38.5,0.9474662286658876,1.0,4.0,2.0,1.0
Sol de Janeiro,Afloral,949,30.0,20.0,1,30.0,31.61,0.0011,25.0,0.6847657854006759,6.0,4.0,1.0,2.0
Sol de Janeiro,Liquid I.V.,24518,35.0,0.0,22,420.0,17.13,0.0009,21.0,0.7371047727344515,5.0,4.0,5.0,3.0
Sol de Janeiro,Willow Pumps,336,,,0,0.0,0.0,0.0,33.85,0.8945060383040103,2.0,4.0,9.0,4.0
Sol de Janeiro,Bodily,85,,,0,0.0,0.0,0.0,26.16,0.8399717826421134,3.0,4.0,10.0,5.0
Sol de Janeiro,Laura Geller,73724,15.0,0.0,139,1770.0,24.01,0.0019,11.54,0.36846289101571966,10.0,4.0,3.0,6.0
Sol de Janeiro,Love Your Melon,399,,,0,0.0,0.0,0.0,22.26,0.7896438085010055,4.0,4.0,11.0,7.0
Sol de Janeiro,"Dermaclara, LLC",1399,15.0,10.0,2,20.0,14.3,0.0014,13.0,0.4743622140097076,8.0,4.0,7.0,8.0
Sol de Janeiro,Little Words Project,4322,15.0,10.0,6,70.0,16.2,0.0014,12.33,0.421407288080272,9.0,4.0,6.0,9.0
Sol de Janeiro,Dollar Shave Club,4072,30.0,5.0,5,75.0,18.42,0.0012,11.08,0.3157711867083609,11.0,4.0,4.0,10.0
Sol de Janeiro,Solly Baby,78,,,0,0.0,0.0,0.0,18.0,0.6312738873622035,7.0,4.0,12.0,11.0
Sol de Janeiro,Dr. Squatch,4446,25.0,1.0,12,61.0,13.72,0.0027,7.46,0.15925961022142202,13.0,4.0,8.0,12.0
Sol de Janeiro,Tubby Todd Bath Co.,549,,,0,0.0,0.0,0.0,7.8,0.20910325657790835,12.0,4.0,13.0,13.0
Sol de Janeiro,Beyond Polish,8164,8.0,0.0,1,0.0,0.0,0.0001,6.86,0.10659422807627111,14.0,4.0,14.0,14.0
Sol de Janeiro,Newton Baby,1144,,,0,0.0,0.0,0.0,2.45,0.05330237847057708,15.0,4.0,15.0,15.0
Sol de Janeiro,MANSCAPED,10327,,,0,0.0,0.0,0.0,0.01,0.0005896164334523095,16.0,4.0,16.0,16.0
Sol de Janeiro,120/Life,1881,,,0,0.0,0.0,0.0,13.523384657684904,0.0,17.0,4.0,17.0,17.0
Sol de Janeiro,biom,3850,,,0,0.0,0.0,0.0,30.0,0.0,18.0,4.0,18.0,18.0
Sol de Janeiro,UNTUCKit,813,,,0,0.0,0.0,0.0,28.89,0.0,19.0,4.0,19.0,19.0
Sol de Janeiro,AAVRANI,1631,,,0,0.0,0.0,0.0,13.523384657684904,0.0,20.0,4.0,20.0,20.0
Caden Lane,Bodily,19856,35.0,12.0,61,1596.0,80.38,0.0031,26.16,0.8399717826421134,4.0,5.0,1.0,1.0
Caden Lane,Once Upon a Farm,3062,40.0,0.0,3,120.0,39.19,0.001,40.0,1.0,1.0,5.0,5.0,2.0
Caden Lane,Willow Pumps,10513,40.0,0.0,12,440.0,41.85,0.0011,33.85,0.8945060383040103,3.0,5.0,4.0,3.0
Caden Lane,True Classic,13313,45.0,0.0,10,315.0,23.66,0.0008,38.5,0.9474662286658876,2.0,5.0,9.0,4.0
Caden Lane,Love Your Melon,3211,30.0,19.0,3,79.8,24.85,0.0009,22.26,0.7896438085010055,5.0,5.0,8.0,5.0
Caden Lane,Coterie,9361,17.0,0.0,28,396.0,42.3,0.003,14.14,0.5251534582056708,10.0,5.0,3.0,6.0
Caden Lane,Solly Baby,3001,18.0,12.0,6,108.0,35.99,0.002,18.0,0.6312738873622035,8.0,5.0,6.0,7.0
Caden Lane,Lalo,2944,20.0,10.0,5,80.0,27.17,0.0017,16.0,0.5790033376501679,9.0,5.0,7.0,8.0
Caden Lane,Liquid I.V.,13529,35.0,0.0,10,245.0,18.11,0.0007,21.0,0.7371047727344515,6.0,5.0,11.0,9.0
Caden Lane,Tubby Todd Bath Co.,17857,10.0,0.0,128,1020.0,57.12,0.0072,7.8,0.20910325657790835,16.0,5.0,2.0,10.0
Caden Lane,Afloral,3620,30.0,20.0,1,20.0,5.52,0.0003,25.0,0.6847657854006759,7.0,5.0,16.0,11.0
Caden Lane,Dollar Shave Club,2121,30.0,5.0,5,50.0,23.57,0.0024,11.08,0.3157711867083609,14.0,5.0,10.0,12.0
Caden Lane,"Dermaclara, LLC",3436,15.0,10.0,3,45.0,13.1,0.0009,13.0,0.4743622140097076,11.0,5.0,14.0,13.0
Caden Lane,Little Words Project,16129,15.0,10.0,18,225.0,13.95,0.0011,12.33,0.421407288080272,12.0,5.0,13.0,14.0
Caden Lane,Laura Geller,26984,15.0,0.0,42,450.0,16.68,0.0016,11.54,0.36846289101571966,13.0,5.0,12.0,15.0
Caden Lane,Dr. Squatch,3468,25.0,1.0,2,26.0,7.5,0.0006,7.46,0.15925961022142202,17.0,5.0,15.0,16.0
Caden Lane,Sol de Janeiro,3385,20.0,10.0,6,10.0,2.95,0.0018,10.64,0.2636796276993377,15.0,5.0,18.0,17.0
Caden Lane,Newton Baby,7160,3.0,0.0,10,24.0,3.35,0.0014,2.45,0.05330237847057708,19.0,5.0,17.0,18.0
Caden Lane,Beyond Polish,3467,8.0,0.0,1,8.0,2.31,0.0003,6.86,0.10659422807627111,18.0,5.0,19.0,19.0
Caden Lane,MANSCAPED,6099,0.0,0.0,1,0.01,0.0,0.0002,0.01,0.0005896164334523095,20.0,5.0,20.0,20.0
Caden Lane,120/Life,3313,,,0,0.0,0.0,0.0,13.523384657684904,0.0,21.0,5.0,21.0,21.0
Caden Lane,UNTUCKit,7028,,,0,0.0,0.0,0.0,28.89,0.0,22.0,5.0,22.0,22.0
Caden Lane,AAVRANI,2830,,,0,0.0,0.0,0.0,13.523384657684904,0.0,23.0,5.0,23.0,23.0
Caden Lane,Morphe,2706,,,0,0.0,0.0,0.0,30.71,0.0,24.0,5.0,24.0,24.0
Caden Lane,biom,2415,,,0,0.0,0.0,0.0,30.0,0.0,25.0,5.0,25.0,25.0
