brand,emergent_brand,session_count,category_similarity,full_category_similarity
Blueland,Beachwaver,1794,0.82,0.81
Blueland,BlendJet,309,1.00,0.94
Blueland,For Days,260,0.82,0.81
Blueland,Glamnetic,259,0.82,0.82
Blueland,Hismile,130,0.79,0.79
Blueland,Dropps,101,1.00,1.00
Blueland,Laura Geller,77,0.82,0.81
Blueland,Hismile,75,0.79,0.79
Blueland,ILIA,73,0.82,0.82
Blueland,Liquid I.V.,62,0.83,0.85
Blueland,Beachwaver,55,0.82,0.81
HATCH,Hismile,152,0.82,0.89
HATCH,Caden Lane,62,0.74,0.76
HATCH,Nanit,57,0.74,0.77
Kopari,Beekman 1802,3883,0.89,0.94
Kopari,Oradina,3866,0.86,0.83
Kopari,MantraBand,3849,0.80,0.83
Kopari,Oradina,2872,0.86,0.83
Kopari,Gibsonlook,2833,0.86,0.86
Kopari,For Days,2833,0.86,0.85
Kopari,Caraway,2833,0.81,0.80
Kopari,MantraBand,2826,0.80,0.83
Kopari,Oradina,2826,0.86,0.83
Kopari,Beekman 1802,2771,0.89,0.94
Kopari,Beekman 1802,2748,0.89,0.94
Kopari,MantraBand,2741,0.80,0.83
Kopari,Liquid I.V.,220,0.85,0.83
LIVELY,Curie,1138,0.90,0.90
LIVELY,Hismile,862,0.82,0.83
LIVELY,Hismile,257,0.82,0.83
LIVELY,Dieux Skin,144,0.90,0.90
LIVELY,Manduka,92,1.00,0.93
LIVELY,D.S. & Durga,52,0.90,0.87
Lunya,Beekman 1802,8134,0.82,0.83
Lunya,Glamnetic,4068,0.90,0.90
Lunya,ILIA,2354,0.90,0.90
Lunya,Beyond Polish,1820,0.90,0.90
Lunya,Love in Faith,1546,0.95,0.92
Snuggle Me Organic,Caden Lane,113,0.90,0.85
Snuggle Me Organic,Beachwaver,73,0.77,0.76
Tubby Todd Bath Co.,Beachwaver,14281,0.75,0.78
Tubby Todd Bath Co.,Caden Lane,205,1.00,0.94
vitruvi,Hismile,77,0.79,0.79
vitruvi,Viori Beauty,63,0.79,0.79