"SOURCE_DATE","CONV_COUNT","AD_SPEND"
"2023-12-18","21",497
"2023-12-19","24",942.04
"2023-12-20","38",969.02
"2023-12-21","47",1016.01
"2023-12-22","53",1429.5
"2023-12-23","69",1834.94
"2023-12-24","48",1204.51
"2023-12-25","62",1359.26
"2023-12-26","132",3152.25
"2023-12-27","165",3893.5
"2023-12-28","235",5209.5
"2023-12-29","187",4707.33
"2023-12-30","190",4411.47
"2023-12-31","208",5322.44
"2024-01-01","289",6452.99
"2024-01-02","449",10052.75
"2024-01-03","440",8835.88
"2024-01-04","463",9363.72
"2024-01-05","445",8718.87
"2024-01-06","392",7164.89
"2024-01-07","388",7923.79
"2024-01-08","401",8240.5
"2024-01-09","439",8605.34
"2024-01-10","370",7235.6
"2024-01-11","398",6935
"2024-01-12","400",7496.47
"2024-01-13","341",6078.28
"2024-01-14","332",6083.99
"2024-01-15","362",6260.24
"2024-01-16","433",6853.48
"2024-01-17","428",6815.25
"2024-01-18","402",7094.49
"2024-01-19","443",7544.46
"2024-01-20","396",7257.28
"2024-01-21","360",7445.16
"2024-01-22","451",8874.77
"2024-01-23","391",8986.51
"2024-01-24","306",6710.71
"2024-01-25","283",5739.66
"2024-01-26","325",6302.7
"2024-01-27","329",7080.69
"2024-01-28","324",7515.18
"2024-01-29","335",7144.39
"2024-01-30","309",6816.32
"2024-01-31","391",8857.24
"2024-02-01","357",7542.5
"2024-02-02","365",7126.44
"2024-02-03","305",6605.71
"2024-02-04","333",7115.29
"2024-02-05","378",8043.94
"2024-02-06","359",7902.32
"2024-02-07","409",9138.03
"2024-02-08","345",6764.31
"2024-02-09","383",7659.42
"2024-02-10","402",8271.01
"2024-02-11","405",7700.88
"2024-02-12","386",7046.11
"2024-02-13","461",8427.98
"2024-02-14","443",7840.87
"2024-02-15","414",7563.23
"2024-02-16","497",8374.4
"2024-02-17","524",8873.44
"2024-02-18","518",9252.22
"2024-02-19","564",10195.7
"2024-02-20","565",10395.05
"2024-02-21","551",9113.78
"2024-02-22","511",7516.96
"2024-02-23","461",6696.59
"2024-02-24","474",7164.98
"2024-02-25","415",6005.21
"2024-02-26","492",7354.58
"2024-02-27","467",6855.8
"2024-02-28","455",5670.11
"2024-02-29","482",6995.19
"2024-03-01","428",6135.36
"2024-03-02","404",6111.19
"2024-03-03","385",6323.22
"2024-03-04","371",5806.47
"2024-03-05","424",6332.19
"2024-03-06","485",7802.11
"2024-03-07","440",7302.56
"2024-03-08","455",7204.72
"2024-03-09","461",7364.8
"2024-03-10","409",6160.82
"2024-03-11","415",6863.97
"2024-03-12","436",7133.92
"2024-03-13","520",8767.83
"2024-03-14","503",7727.38
"2024-03-15","427",7214.5
"2024-03-16","446",7084.26
"2024-03-17","412",6396.8
"2024-03-18","477",6714.26
"2024-03-19","385",6674.58
"2024-03-20","343",6104.94
"2024-03-21","381",6833.69
"2024-03-22","387",7139.66
"2024-03-23","383",6122.37
"2024-03-24","338",5963.36
"2024-03-25","378",6115
"2024-03-26","474",6485.52
"2024-03-27","395",5714.02
"2024-03-28","416",6825.1
"2024-03-29","351",5573.7
"2024-03-30","311",4806.47
"2024-03-31","285",4703.37
"2024-04-01","360",6268.95
"2024-04-02","399",6187.35
"2024-04-03","366",6106.56
"2024-04-04","442",6775.17
"2024-04-05","359",5662.5
"2024-04-06","395",6681.36
"2024-04-07","359",6264.96
"2024-04-08","412",6052.86
"2024-04-09","448",6990.82
"2024-04-10","496",7314.89