original_url,redirected_url
https://captainblankenship.com/checkouts/cn/6b7ef1d735be3f1829bd5023a95944b5,https://captainblankenship.com
https://checkout.ancientnutrition.com/539952/checkouts/92146f51d266deffad6befdf3783bcb7,https://checkout.ancientnutrition.com/539952/checkouts/92146f51d266deffad6befdf3783bcb7
https://checkout.ancientnutrition.com/checkouts/co/7696fea2a67bc0f26e479ecc420dcfb4,https://checkout.ancientnutrition.com
https://checkout.iliabeauty.com/1272332/checkouts/202d1a2fa13963ddc87cad74eeeb879c,https://checkout.iliabeauty.com/1272332/checkouts/202d1a2fa13963ddc87cad74eeeb879c
https://checkout.iliabeauty.com/1272332/checkouts/202d1a2fa13963ddc87cad74eeeb879c,https://checkout.iliabeauty.com/1272332/checkouts/202d1a2fa13963ddc87cad74eeeb879c
https://clevrblends.com/checkouts/co/ac05d0817bde0d8be3be9d07bdc6e665,https://clevrblends.com
https://cookanyday.com/25893240922/checkouts/4848e662385e276c465af99d3c964ae6,https://cookanyday.com/25893240922/checkouts/4848e662385e276c465af99d3c964ae6
https://coveyskin.com/checkouts/cn/ab3e2081e0592947b5cb656cddfdd313,https://coveyskin.com
https://curiebod.com/checkouts/cn/d5a0f3d9f3ea2c4681b15b77fcbc3320,https://curiebod.com
https://doublesoul.co/checkouts/cn/a851270db309bfba877e4fb456b31382,https://doublesoul.co
https://dryftsleep.com/checkouts/cn/2f7b8ea10a0adc0ef5ddc83084752c30,https://dryftsleep.com
https://elegantbaby.com/checkouts/cn/3519415214da20c2c589f60983b64152,https://elegantbaby.com
https://felixgray.com/checkouts/co/62038b2b816f8ec23c625745f4acdbf5,https://felixgray.com
https://fnxfit.com/checkouts/c/4c4a45c4d08f6f5a98e3c1acd00bbfe3,https://fnxfit.com
https://foodhuggers.com/3079937/checkouts/eeddf30f351e16cec7debf7836a744eb,https://foodhuggers.com/3079937/checkouts/eeddf30f351e16cec7debf7836a744eb
https://haand.us/checkouts/cn/a099dee5e16c528703378c7b9cb1e035,https://haand.us
https://haand.us/checkouts/cn/c3d20e922066f0e224298b6340eb33eb,https://haand.us
https://haand.us/checkouts/cn/dd600f489969086496a425c31072482f,https://haand.us
https://highlinewellness.com/7726235721/checkouts/2376ace415e423349ddf4d24a4dfa126,https://highlinewellness.com/7726235721/orders/37939c49152e244e6a3fe81e77d27468
https://iotabody.com/checkouts/cn/68b95510f971b08d543aa2eff3ef547f,https://iotabody.com
https://jolieskinco.com/checkouts/cn/46b143e6a943255747bf6e3334559ac4,https://jolieskinco.com
https://jot.co/checkouts/cn/b2e2706b54ce5a5b902f145a2ede11dc,https://jot.co
https://keepyourcadence.com/checkouts/co/c4088d690857f93ab2db5864f054967b,https://keepyourcadence.com
https://keepyourcadence.com/checkouts/co/d064872cdff118f30b3925dd66cff462,https://keepyourcadence.com
https://kosas.com/checkouts/cn/04a6bc998a7757e7208582a756baf594,https://kosas.com
https://kosas.com/checkouts/cn/54711750c058c20025d90972def02b98,https://kosas.com
https://kosas.com/checkouts/cn/7422f4e44158d4dd05819846810ae2c7,https://kosas.com
https://kosas.com/checkouts/cn/cd9069cf749198b1b377eac4b2cb1a77,https://kosas.com
https://lunya.co/2670987/checkouts/a3937170b4f463283cbdd86c647ffeeb,https://lunya.co/2670987/checkouts/a3937170b4f463283cbdd86c647ffeeb
https://mymedic.com/checkouts/co/6002288f7c1bde619dec9ad584d9e2c4,https://mymedic.com
https://setactive.co/checkouts/co/3ae23482eddfe7dc116deb2d7e77caac,https://setactive.co
https://setactive.co/checkouts/co/d7d6f0c450907ebada9457e31828291e,https://setactive.co
https://shop.carawayhome.com/checkouts/co/2759ffca416b64f06c2bbada05515a3a,https://shop.carawayhome.com
https://shop.carawayhome.com/checkouts/co/6178b3ef0d50d753e4128718a9d67b13,https://shop.carawayhome.com
https://shop.carawayhome.com/checkouts/co/8e35077783ebd4346e4c755bc97f3ba2,https://shop.carawayhome.com
https://shop.liquid-iv.com/13381013/checkouts/c6bdb2f91ea4151b2efd5a243fb74be3,https://shop.liquid-iv.com/13381013/checkouts/c6bdb2f91ea4151b2efd5a243fb74be3
https://shop.liquid-iv.com/checkouts/cn/61d6a9174d62f84b54bdaa5c43430933,https://shop.liquid-iv.com
https://shop.liquid-iv.com/checkouts/cn/82dafeab9bb08258511dd073d97047dd,https://shop.liquid-iv.com
https://sijohome.com/checkouts/cn/98de8a63c8d7d28ea54a3f9100168cc6,https://sijohome.com
https://soldejaneiro.com/28262250/checkouts/ead6b874f9b3d60c6564e33d4f4a9a96,https://soldejaneiro.com/28262250/checkouts/ead6b874f9b3d60c6564e33d4f4a9a96
https://soldejaneiro.com/28262250/checkouts/ead6b874f9b3d60c6564e33d4f4a9a96,https://soldejaneiro.com/28262250/checkouts/ead6b874f9b3d60c6564e33d4f4a9a96
https://soldejaneiro.com/28262250/checkouts/f658e637d227dd937a267f8958eb2d5c,https://soldejaneiro.com/28262250/checkouts/f658e637d227dd937a267f8958eb2d5c
https://soldejaneiro.com/28262250/checkouts/f658e637d227dd937a267f8958eb2d5c,https://soldejaneiro.com/28262250/checkouts/f658e637d227dd937a267f8958eb2d5c
https://soldejaneiro.com/checkouts/co/a2227df97674f9d1738aff4d25b4a129,https://soldejaneiro.com
https://store.dsanddurga.com/checkouts/cn/2feb291df8650594ced12d52def5acf2,https://store.dsanddurga.com
https://store.dsanddurga.com/checkouts/cn/65cd3e2cc7df31928de79757d44a45d4,https://store.dsanddurga.com
https://sundaycitizen.co/checkouts/cn/7bd9e3d3a7685f9d1578b96b9dc9f30d,https://sundaycitizen.co
https://thehoneypot.co/checkouts/cn/2e86687697ea72b78506f1e4ec8dbdcc,https://thehoneypot.co
https://thehoneypot.co/checkouts/cn/8c598935b1a8545586ad0470b30642fe,https://thehoneypot.co
https://theouai.com/10437322/checkouts/a52e0d93b6cff3aa957bef28c9a746c6,https://theouai.com/10437322/checkouts/a52e0d93b6cff3aa957bef28c9a746c6
https://theouai.com/checkouts/co/6d0ae212b66905d35830ce1a549399c4,https://theouai.com
https://theouai.com/checkouts/co/f0bd8d50279e36fb9e81b907a86c1e5c,https://theouai.com
https://theouai.com/checkouts/co/fe48db39fd66090997150f95e1861aef,https://theouai.com
https://tushbaby.com/checkouts/cn/7584492831a459d17cf9fef0de756886,https://tushbaby.com
https://vegamour.com/13360857/checkouts/9f2296acf08da56bc0cb56855fd804c7,https://vegamour.com/13360857/checkouts/9f2296acf08da56bc0cb56855fd804c7
https://vitruvi.com/checkouts/co/8914d252e795e431ff0c6854b605e61f,https://vitruvi.com
https://www.afloral.com/13344597/checkouts/7d63e85755a8c25093cdb2ad1bfd589d,https://www.afloral.com/13344597/checkouts/7d63e85755a8c25093cdb2ad1bfd589d
https://www.bandier.com/25056968738/checkouts/3066f5c86514868f4504db876620842c,https://www.bandier.com/25056968738/checkouts/3066f5c86514868f4504db876620842c
https://www.brightcellars.com/69301993746/checkouts/3dc398a1d9cd2fea3e9f1c46ff239af1,https://www.brightcellars.com/69301993746/checkouts/3dc398a1d9cd2fea3e9f1c46ff239af1
https://www.brightcellars.com/checkouts/co/7eb0d3f74fa0847d3f024bd3b31136a0,https://www.brightcellars.com
https://www.buffbunny.com/checkouts/cn/b45681bf1e9ff5d8b1226fbeeed20122,https://www.buffbunny.com
https://www.buffbunny.com/checkouts/cn/f417432d6dc7593e61c23d49044eeb4b,https://www.buffbunny.com
https://www.crownaffair.com/checkouts/cn/247d4d5aa36c3a3566b5d933d5cd5a11,https://www.crownaffair.com
https://www.crownaffair.com/checkouts/cn/8c5c0c1287f7810ad5b34229ee17b77c,https://www.crownaffair.com
https://www.crownaffair.com/checkouts/cn/d1d51bc00aec98a7c439add0a4287766,https://www.crownaffair.com
https://www.crownaffair.com/checkouts/cn/d6d216c9b3ffeef72a5a63f00be3c129,https://www.crownaffair.com
https://www.dagnedover.com/2601439/checkouts/4b48708747ee8b29be8fbb05506eb87e,https://www.dagnedover.com/2601439/checkouts/4b48708747ee8b29be8fbb05506eb87e
https://www.dagnedover.com/checkouts/co/a3a696c19d0bbb20ac7a94ca1389a2c2,https://www.dagnedover.com
https://www.dakine.com/24231411792/checkouts/f59578521b492ce3a775f07068a6618d,https://www.dakine.com/24231411792/checkouts/f59578521b492ce3a775f07068a6618d
https://www.dermaclara.com/checkouts/co/4c0e9762c5e7ff5b4d10904040f7a7c0,https://www.dermaclara.com
https://www.dieuxskin.com/checkouts/cn/2497aeb9de9591dde6b08b1dd2b69371,https://www.dieuxskin.com
https://www.dropps.com/2684219/checkouts/0df78119612874a18f8677527835e6cc,https://www.dropps.com/2684219/checkouts/0df78119612874a18f8677527835e6cc
https://www.drsquatch.com/27577843817/checkouts/72c6bada2a1c8e2aba1b61f625e8595c,https://www.drsquatch.com/27577843817/checkouts/72c6bada2a1c8e2aba1b61f625e8595c
https://www.ettitude.com/checkouts/cn/1e7417f7bad3b615a5ab6f8ab09f4e73,https://www.ettitude.com
https://www.ettitude.com/checkouts/cn/31f969082efa54eb9864b41cc3d77a4b,https://www.ettitude.com
https://www.ettitude.com/checkouts/cn/c5b73c36c60c49654fb4471a69ac9093,https://www.ettitude.com
https://www.ettitude.com/checkouts/co/765bcb6932b7d09b6ed1bb2c880d5572,https://www.ettitude.com
https://www.flyingembers.com/checkouts/c/77e23cfdb7b5e8eb4806033e650b04d9,https://www.flyingembers.com
https://www.kosterina.com/checkouts/cn/5c875da6c21a3332dca6f3d844d12b8a,https://www.kosterina.com
https://www.kosterina.com/checkouts/cn/acddc91f32f64cbda6a5184744e519f3,https://www.kosterina.com
https://www.leminimacaron.com/checkouts/cn/04ab77721d9d32778a21b1630367e9fc,https://www.leminimacaron.com
https://www.mariobadescu.com/checkouts/c/1a5112e16484477483f1763ed7850926,https://www.mariobadescu.com
https://www.mariobadescu.com/checkouts/c/8fe3eea1af5147037fe90ac661c88ce9,https://www.mariobadescu.com
https://www.mariobadescu.com/checkouts/cn/947698d7e2a4dabf1b87a899ba80789d,https://www.mariobadescu.com
https://www.meetlalo.com/checkouts/co/d88a63ecca37bbd9ffe6ec52d89f9e27,https://www.meetlalo.com
https://www.morphe.com/checkouts/co/3a992fa3d91cd8bae0252697298bdef8,https://www.morphe.com
https://www.opopop.com/checkouts/co/c29f5270064f84a898b194a1fd1425a6,https://www.opopop.com
https://www.pretzels.com/56243323051/checkouts/1ca7a7d2a5f452960fdfff0025f577c1,https://www.pretzels.com/56243323051/checkouts/1ca7a7d2a5f452960fdfff0025f577c1
https://www.seavees.com/checkouts/co/85ca8178d17f578b10e86f65271e1833,https://www.seavees.com
https://www.seavees.com/checkouts/co/9f226bd17dd285403398570a55aa63e4,https://www.seavees.com
https://www.thousandfell.com/checkouts/co/7cfaed2f817ca1f434fd0c35b272b13e,https://www.thousandfell.com
https://www.tower28beauty.com/checkouts/cn/80fcdf8c1f9b672cb3e417bbd678d2b9,https://www.tower28beauty.com
https://www.tower28beauty.com/checkouts/cn/f5096884862d24223a8c3f92e406023c,https://www.tower28beauty.com
https://www.trueclassictees.com/22040084552/checkouts/40e1432773c83551852185cdec835cc5,https://www.trueclassictees.com/22040084552/checkouts/40e1432773c83551852185cdec835cc5
https://www.trueclassictees.com/checkouts/cn/7743acc8f320d868b6513580d5fc1a0f,https://www.trueclassictees.com
https://www.tula.com/17369637/checkouts/2d6757716ddd13d319a4b0811b683466,https://www.tula.com/17369637/checkouts/2d6757716ddd13d319a4b0811b683466
https://www.tula.com/17369637/checkouts/a72dfc0c7f7dd402b4f55dd94b8094eb,https://www.tula.com/17369637/checkouts/a72dfc0c7f7dd402b4f55dd94b8094eb
https://www.tula.com/17369637/checkouts/da6976518e7aba1719d7152a09862d0d,https://www.tula.com/17369637/checkouts/da6976518e7aba1719d7152a09862d0d
https://www.ursamajorvt.com/checkouts/co/ad9cc611b97cc9ad63738e6ff332dc03,https://www.ursamajorvt.com
https://www.ursamajorvt.com/checkouts/co/d8290db2bfaff83322872b112ca1cb68,https://www.ursamajorvt.com
https://www.us.rains.com/24181767/checkouts/462b62a186483f49a88fa2fc9edf97e3,https://www.us.rains.com/24181767/checkouts/462b62a186483f49a88fa2fc9edf97e3
https://www.us.rains.com/24181767/checkouts/9af8aa23eff4ab0355c5f5176f9b6d5a,https://www.us.rains.com/24181767/checkouts/9af8aa23eff4ab0355c5f5176f9b6d5a
https://www.wearlively.com/checkouts/co/60a6f997183ed56747436e993f1d8e41,https://www.wearlively.com/em-cgi/btag/
https://yearandday.com/checkouts/co/687a17ec8b558e6bb860f527414874ca,https://yearandday.com
https://yearandday.com/checkouts/co/f624cd3b248f6bc514bf9a9a66982dff,https://yearandday.com
https://ancientnutrition.com/pages/tracking?search=5669849-S&syclid=65328653-0365-4249-a777-2542549b56d2,https://ancientnutrition.com/pages/tracking?search=5669849-S&syclid=65328653-0365-4249-a777-2542549b56d2
https://bloomscape.com/checkout/order-received/1064744/?key=wc_order_ZfraPVMVsgqKP,https://bloomscape.com/checkout/order-received/1064744/?key=wc_order_ZfraPVMVsgqKP
https://bloomscape.com/checkout/order-received/1064900/?key=wc_order_njM9ZYFnq23iv,https://bloomscape.com/checkout/order-received/1064900/?key=wc_order_njM9ZYFnq23iv
https://oliversapparel.com/2664899/orders/a1fc67473a5e9579fb4d0f4ad99625ad,https://oliversapparel.com/2664899/orders/a1fc67473a5e9579fb4d0f4ad99625ad
https://www.brightcellars.com/checkouts/cn/Z2NwLXVzLWVhc3QxOjAxSFQ1VlpaVjc4SjA0RlhBR1ZKUEIzVFNG/thank-you,https://www.brightcellars.com
https://www.carawayhome.com/?utm_source=klaviyo&utm_medium=email&utm_campaign=%5BTransactional%5D%20Order%20Confirmation%202022&utm_klaviyo_id=01HSQCCF0NJDTZEPQRZ6BADH0V&_kx=5aBYg4eergUWVwaKXn9ZatFOce61mO1sU3x3P5Isvy4.JMdCfQ,https://www.carawayhome.com/?utm_source=klaviyo&utm_medium=email&utm_campaign=%5BTransactional%5D%20Order%20Confirmation%202022&utm_klaviyo_id=01HSQCCF0NJDTZEPQRZ6BADH0V&_kx=5aBYg4eergUWVwaKXn9ZatFOce61mO1sU3x3P5Isvy4.JMdCfQ
https://www.manscaped.com/checkout/thankyou/652f3c8ff67b60c3aaeca57e,https://www.manscaped.com/checkout/thankyou/652f3c8ff67b60c3aaeca57e
